node,x,y
517,405734.8077,4267012.744
518,405734.8077,4267012.744
519,405558.2998,4267211.315
520,405558.2998,4267211.315
521,405591.395,4267001.712
522,405591.395,4267001.712
523,405425.9188,4267156.156
524,405425.9188,4267156.156
525,405238.379,4267178.22
526,405238.379,4267178.22
527,405050.8393,4267487.109
528,405050.8393,4267487.109
529,405139.0933,4267663.617
530,405139.0933,4267663.617
531,405293.5378,4268016.633
532,405293.5378,4268016.633
533,405050.8393,4267906.315
534,405050.8393,4267906.315
535,405072.9028,4268215.204
536,405072.9028,4268215.204
537,404697.8234,4268104.887
538,404697.8234,4268104.887
539,404675.7599,4268457.903
540,404675.7599,4268457.903
541,404984.6488,4268634.411
542,404984.6488,4268634.411
543,405117.0298,4268766.792
544,405117.0298,4268766.792
545,405381.7918,4268479.966
546,405381.7918,4268479.966
547,405734.8077,4268303.458
548,405734.8077,4268303.458
549,405955.4427,4268479.966
550,405955.4427,4268479.966
551,405911.3157,4268656.474
552,405911.3157,4268656.474
553,405889.2522,4268921.236
554,405889.2522,4268921.236
555,406087.8237,4268877.109
556,406087.8237,4268877.109
557,405889.2522,4269230.125
558,405889.2522,4269230.125
559,405690.6807,4269362.506
560,405690.6807,4269362.506
561,405646.5537,4269119.808
562,405646.5537,4269119.808
563,405117.0298,4269671.395
564,405117.0298,4269671.395
565,405337.6648,4269781.713
566,405337.6648,4269781.713
567,405381.7918,4270355.364
568,405381.7918,4270355.364
569,405536.2363,4270752.506
570,405536.2363,4270752.506
571,405734.8077,4270598.062
572,405734.8077,4270598.062
573,405800.9982,4271039.332
574,405800.9982,4271039.332
575,405977.5062,4271458.538
576,405977.5062,4271458.538
577,406176.0777,4271921.872
578,406198.1412,4271921.872
579,406396.7127,4272120.443
580,406396.7127,4272120.443
581,406429.8079,4271646.078
582,406429.8079,4271646.078
583,406871.0778,4271127.586
584,406871.0778,4271127.586
585,407477.824,4270807.665
586,407477.824,4270807.665
587,408051.4749,4270587.03
588,408073.5384,4270587.03
589,408216.9512,4270079.57
590,408216.9512,4270079.57
591,408470.6814,4270112.665
592,408470.6814,4270112.665
593,408801.6339,4270013.379
594,408801.6339,4270013.379
595,409518.6975,4269605.205
596,409518.6975,4269605.205
597,410202.6659,4269472.824
598,410202.6659,4269472.824
599,410710.1264,4269263.22
600,410710.1264,4269263.22
601,411493.3805,4269373.538
602,411493.3805,4269373.538
603,411647.825,4269814.808
604,411647.825,4269814.808
605,412089.0949,4269991.316
606,412089.0949,4269991.316
607,413081.9523,4269925.125
608,413081.9523,4269925.125
609,413434.9683,4269814.808
610,413434.9683,4269814.808
611,413743.8572,4269395.601
612,413743.8572,4269395.601
613,414052.7462,4268601.315
614,414052.7462,4268601.315
615,414560.2066,4268270.363
616,414560.2066,4268270.363
617,414979.4131,4267718.776
618,414979.4131,4267718.776
619,415508.937,4267056.871
620,415508.937,4267056.871
621,415906.08,4266417.029
622,415906.08,4266417.029
623,416148.7784,4265975.759
624,416148.7784,4265975.759
625,416303.2229,4265821.315
626,416303.2229,4265821.315
627,416413.5404,4265854.41
628,416413.5404,4265854.41
629,416545.9214,4265755.124
630,416545.9214,4265755.124
631,416623.1436,4265887.505
632,416623.1436,4265887.505
633,416788.6199,4265633.775
634,416788.6199,4265633.775
635,416976.1596,4265302.823
636,416976.1596,4265302.823
637,417108.5406,4265104.251
638,417108.5406,4265104.251
639,417329.1755,4265236.632
640,417329.1755,4265236.632
641,417472.5883,4264949.807
642,417472.5883,4264938.775
643,417836.636,4264784.33
644,417836.636,4264784.33
645,418145.5249,4265038.061
646,418145.5249,4265038.061
647,418222.7472,4264806.394
648,418222.7472,4264817.426
649,418322.0329,4264464.41
650,418322.0329,4264464.41
651,418664.0171,4264541.632
652,418664.0171,4264541.632
653,418774.3346,4264519.568
654,418774.3346,4264519.568
655,418829.4933,4264674.013
656,418829.4933,4264674.013
657,418950.8426,4264640.918
658,418950.8426,4264640.918
659,419039.0966,4264773.299
660,419039.0966,4264773.299
661,419425.2078,4264806.394
662,419425.2078,4264806.394
663,419579.6523,4264640.918
664,419601.7158,4264640.918
665,419667.9062,4264762.267
666,419667.9062,4264762.267
667,419899.573,4264740.203
668,419899.573,4264740.203
669,419976.7952,4264431.315
670,419976.7952,4264431.315
671,420087.1127,4264354.092
672,420087.1127,4264354.092
673,420164.3349,4264674.013
674,420164.3349,4264674.013
675,420318.7794,4264806.394
676,420318.7794,4264806.394
677,420550.4461,4265038.061
678,420550.4461,4265038.061
679,420638.7001,4265567.585
680,420638.7001,4265567.585
681,420715.9224,4266163.299
682,420715.9224,4266163.299
683,420616.6366,4266637.664
684,420616.6366,4266637.664
685,420715.9224,4267123.061
686,420715.9224,4267123.061
687,421113.0653,4267586.395
688,421113.0653,4267586.395
689,421466.0813,4267862.188
690,421466.0813,4267862.188
691,421686.7162,4268347.585
692,421686.7162,4268347.585
693,421730.8432,4268788.855
694,421741.875,4268810.919
695,421973.5417,4269274.252
696,421973.5417,4269274.252
697,422282.4307,4269660.363
698,422282.4307,4269660.363
699,422789.8911,4270211.951
700,422789.8911,4270211.951
701,423319.415,4270487.745
702,423319.415,4270487.745
703,423683.4627,4270973.141
704,423683.4627,4270973.141
705,424025.4469,4271182.745
706,424025.4469,4271182.745
707,424323.3042,4271072.427
708,424323.3042,4271072.427
709,424632.1931,4270598.062
710,424632.1931,4270598.062
711,424808.7011,4270377.427
712,424819.7328,4270377.427
713,425018.3043,4270399.491
714,425018.3043,4270399.491
715,425261.0028,4270509.808
716,425261.0028,4270509.808
717,425580.9235,4270763.538
718,425580.9235,4270763.538
719,425746.3997,4271072.427
720,425757.4315,4271072.427
721,425867.749,4271204.808
722,425867.749,4271204.808
723,425944.9712,4271425.443
724,425944.9712,4271425.443
725,426033.2252,4271734.332
726,426033.2252,4271734.332
727,425989.0982,4272230.761
728,425989.0982,4272230.761
729,426187.6697,4272462.428
730,426187.6697,4272462.428
